"Countries by Continent","Capital City","Infrastructure Index",Lat,Lng
Somalia,Mogadishu,4,02°02'N,45°25'E
"D R Congo",Kinshasa,9,39°09'N,125°30'E
Chad,N'Djamena,10,12°10'N,14°59'E
Zimbabwe,Harare,11,17°43'S,31°02'E
Haiti,Port-au-Prince,11,18°40'N,72°20'W
"South Sudan",Juba,14,#N/A,#N/A
Afghanistan,Kabul,15,34°28'N,69°11'E
Ethiopia,"Addis Abada",16,09°02'N,38°42'E
Yemen,Sanaá,16,15°31'N,41°11'E
"Central African Republic",Bangui,17,04°23'N,18°35'E
Kenya,Nairobi,17,01°17'S,36°48'E
"Sierra Leone",Freetown,17,08°30'N,13°17'W
Sudan,Khartoum,17,15°31'N,32°35'E
Guinea,Conakry,18,09°29'N,13°49'W
"Ivory Coast",Yamoussoukro,18,#N/A,#N/A
Liberia,Monrovia,18,06°18'N,10°47'W
Iraq,Baghdad,18,33°20'N,44°30'E
Gunea-Bissau,Bissau,19,#N/A,#N/A
Uganda,Kampala,19,00°20'N,32°30'E
Burundi,Bujumbura,20,03°16'S,29°18'E
